West Bengal 2026 — SIR & Adjudication Data by Assembly Constituency,,,,,,,,,,,,,
"Source: konkomaji/wb-election-2026-intelligence (GitHub, MIT License) — compiled from CEO West Bengal / ECI Adjudication Report, April 2026. Data as of ~10 Apr 2026.",,,,,,,,,,,,,
AC No.,Constituency,District,Phase,Electors 2021,Electors 2024,SIR Roll Total,SIR ? vs 2024,SIR ?%,Risk Flag,Under Adjudication,Found Eligible,SIR 27 lakh deletions,Eligible %
1,Mekliganj,Coochbehar,Phase 1 (23 Apr),"2,27,630",0,0,0,0.0%,—,0,0,0,0.0%
2,Mathabhanga,Coochbehar,Phase 1 (23 Apr),"2,49,799","2,65,316","2,58,468","-6,848",-258.0%,—,"17,886","8,158","9,728",45.6%
3,Cooch Behar Uttar,Coochbehar,Phase 1 (23 Apr),"2,85,649","2,92,443","2,81,597","-10,846",-371.0%,—,"24,537","5,938","18,599",24.2%
4,Cooch Behar Dakshin,Coochbehar,Phase 1 (23 Apr),"2,37,033","2,41,441","2,32,704","-8,737",-362.0%,? YES,"28,076","6,412","21,664",22.8%
5,Sitalkuchi,Coochbehar,Phase 1 (23 Apr),"2,87,444","3,04,609","2,98,709","-5,900",-194.0%,—,"31,201","18,944","12,257",60.7%
6,Sitai,Coochbehar,Phase 1 (23 Apr),"2,93,165","3,04,238","2,91,421","-12,817",-421.0%,—,"36,415","16,202","20,213",44.5%
7,Dinhata,Coochbehar,Phase 1 (23 Apr),"3,02,083","3,07,585","2,92,378","-15,207",-494.0%,—,"35,932","18,658","17,274",51.9%
8,Natabari,Alipurduar,Phase 1 (23 Apr),"2,48,254","2,55,111","2,48,850","-6,261",-245.0%,? YES,"20,987","12,200","8,787",58.1%
9,Tufanganj,Alipurduar,Phase 1 (23 Apr),"2,37,121","2,45,696","2,41,419","-4,277",-174.0%,—,"16,346","13,343","3,003",81.6%
10,Kumargram,Alipurduar,Phase 1 (23 Apr),"2,75,069","2,82,343","2,69,219","-13,124",-465.0%,? YES,"11,676","5,416","6,260",46.4%
11,Kalchini,Alipurduar,Phase 1 (23 Apr),"2,48,843","2,54,731","2,34,260","-20,471",-804.0%,? YES,"18,823","7,280","11,543",38.7%
12,Alipurduars,Alipurduar,Phase 1 (23 Apr),"2,63,775","2,68,670","2,49,846","-18,824",-701.0%,—,"10,451","3,384","7,067",32.4%
13,Falakata,Alipurduar,Phase 1 (23 Apr),"2,56,693","2,62,383","2,50,963","-11,420",-435.0%,? YES,"23,299","17,411","5,888",74.7%
14,Madarihat,Alipurduar,Phase 1 (23 Apr),"2,13,616","2,20,466","1,99,912","-20,554",-932.0%,? YES,"16,245","10,925","5,320",67.3%
15,Dhupguri,Jalpaiguri,Phase 1 (23 Apr),"2,65,481","2,69,522","2,60,853","-8,669",-322.0%,? YES,"17,479","15,552","1,927",89.0%
16,Maynaguri,Jalpaiguri,Phase 1 (23 Apr),"2,66,651","2,72,625","2,66,329","-6,296",-231.0%,? YES,"10,473","2,881","7,592",27.5%
17,Jalpaiguri,Jalpaiguri,Phase 1 (23 Apr),"2,68,201","2,68,781","2,55,616","-13,165",-490.0%,—,"10,935","9,042","1,893",82.7%
18,Rajganj,Jalpaiguri,Phase 1 (23 Apr),"2,44,870","2,55,653","2,41,560","-14,093",-551.0%,? YES,"20,192","13,184","7,008",65.3%
19,Dabgram-Phulbari,Jalpaiguri,Phase 1 (23 Apr),"3,12,010","3,21,201","2,87,030","-34,171",-1064.0%,—,"15,905","8,939","6,966",56.2%
20,Mal,Jalpaiguri,Phase 1 (23 Apr),"2,56,162","2,64,189","2,45,205","-18,984",-719.0%,? YES,"20,999","13,504","7,495",64.3%
21,Nagrakata,Jalpaiguri,Phase 1 (23 Apr),"2,37,388","2,44,174","2,24,322","-19,852",-813.0%,? YES,"12,209","9,734","2,475",79.7%
22,Kalimpong,Kalimpong,Phase 1 (23 Apr),"2,13,398","2,20,584","2,03,531","-17,053",-773.0%,—,"6,790","4,383","2,407",64.6%
23,Darjeeling,Darjeeling,Phase 1 (23 Apr),"2,47,576","2,50,788","2,19,342","-31,446",-1254.0%,? YES,"24,658","15,198","9,460",61.6%
24,Kurseong,Darjeeling,Phase 1 (23 Apr),"2,37,447","2,41,499","2,22,710","-18,789",-778.0%,—,"14,534","8,334","6,200",57.3%
25,Matigara-Naxalbari,Darjeeling,Phase 1 (23 Apr),"2,88,374","3,08,118","2,85,174","-22,944",-745.0%,—,"14,776","6,111","8,665",41.4%
26,Siliguri,Darjeeling,Phase 1 (23 Apr),"2,30,903","2,39,026","2,08,643","-30,383",-1271.0%,—,"8,719","2,138","6,581",24.5%
27,Phansidewa,Darjeeling,Phase 1 (23 Apr),"2,41,327","2,53,225","2,34,774","-18,451",-729.0%,—,"17,319","3,995","13,324",23.1%
28,Chopra,Uttar Dinajpur,Phase 1 (23 Apr),"2,49,523","2,63,658","2,48,056","-15,602",-592.0%,—,"67,932","40,034","27,898",58.9%
29,Islampur,Uttar Dinajpur,Phase 1 (23 Apr),"2,21,637","2,35,590","2,17,657","-17,933",-761.0%,—,"45,921","30,516","15,405",66.5%
30,Goalpokhar,Uttar Dinajpur,Phase 1 (23 Apr),"2,25,607","2,46,383","2,30,852","-15,531",-630.0%,? YES,"78,475","46,986","31,384",59.9%
31,Chakulia,Uttar Dinajpur,Phase 1 (23 Apr),"2,34,514","2,49,081","2,28,945","-20,136",-808.0%,? YES,"74,647","60,869","13,778",81.5%
32,Karandighi,Uttar Dinajpur,Phase 1 (23 Apr),"2,64,207","2,78,597","2,59,962","-18,635",-669.0%,—,"67,369","35,807","31,562",53.2%
33,Hemtabad,Uttar Dinajpur,Phase 1 (23 Apr),"2,64,261","2,79,862","2,65,162","-14,700",-525.0%,? YES,"52,542","34,327","18,215",65.3%
34,Kaliaganj,Uttar Dinajpur,Phase 1 (23 Apr),"2,85,592","2,94,963","2,79,365","-15,598",-529.0%,—,"21,212","14,915","6,297",70.3%
35,Raiganj,Uttar Dinajpur,Phase 1 (23 Apr),"2,02,519","2,07,098","1,89,427","-17,671",-853.0%,—,"18,372","4,706","13,663",25.6%
36,Itahar,Dakshin Dinajpur,Phase 1 (23 Apr),"2,31,100","2,41,069","2,29,907","-11,162",-463.0%,—,"53,871","35,101","18,770",65.2%
37,Kushmandi,Dakshin Dinajpur,Phase 1 (23 Apr),"2,21,830","2,29,908","2,20,230","-9,678",-421.0%,? YES,"27,954","14,373","13,581",51.4%
38,Kumarganj,Dakshin Dinajpur,Phase 1 (23 Apr),"2,05,615","2,10,830","2,02,248","-8,582",-407.0%,—,"29,607","8,927","20,680",30.2%
39,Balurghat,Dakshin Dinajpur,Phase 1 (23 Apr),"1,83,908","1,86,430","1,74,060","-12,370",-664.0%,—,"6,577","1,801","4,776",27.4%
40,Tapan,Dakshin Dinajpur,Phase 1 (23 Apr),"2,22,777","2,27,916","2,11,815","-16,101",-706.0%,—,"15,906","4,685","11,221",29.5%
41,Gangarampur,Dakshin Dinajpur,Phase 1 (23 Apr),"2,26,680","2,30,823","2,16,414","-14,409",-624.0%,—,"20,413","7,366","13,047",36.1%
42,Harirampur,Dakshin Dinajpur,Phase 1 (23 Apr),"2,29,897","2,36,965","2,25,797","-11,168",-471.0%,? YES,"31,801","18,338","13,463",57.7%
43,Habibpur,Malda,Phase 1 (23 Apr),"2,50,492","2,58,521","2,42,952","-15,569",-602.0%,—,"7,779","2,579","5,178",33.2%
44,Gazole,Malda,Phase 1 (23 Apr),"2,68,691","2,79,524","2,66,226","-13,298",-476.0%,—,"32,397","23,423","8,974",72.3%
45,Chanchal,Malda,Phase 1 (23 Apr),"2,50,569","2,58,245","2,45,534","-12,711",-492.0%,? YES,"73,901","69,731","4,170",94.4%
46,Harischandrapur,Malda,Phase 1 (23 Apr),"2,53,687","2,68,499","2,55,926","-12,573",-468.0%,? YES,"91,978","72,396","19,582",78.7%
47,Malatipur,Malda,Phase 1 (23 Apr),"2,32,961","2,47,229","2,36,542","-10,687",-432.0%,—,"94,750","65,261","29,489",68.9%
48,Ratua,Malda,Phase 1 (23 Apr),"2,84,977","2,95,029","2,78,227","-16,802",-570.0%,—,"1,04,490","68,917","35,573",66.0%
49,Manickchak,Malda,Phase 1 (23 Apr),"2,55,355","2,67,704","2,54,971","-12,733",-476.0%,? YES,"65,504","41,778","23,726",63.8%
50,Maldaha,Malda,Phase 1 (23 Apr),"2,48,303","2,57,238","2,42,888","-14,350",-558.0%,—,"36,557","25,524","11,033",69.8%
51,Englishbazar,Malda,Phase 1 (23 Apr),"2,78,182","2,88,416","2,65,171","-23,245",-806.0%,—,"37,780","19,342","18,438",51.2%
52,Mothabari,Malda,Phase 1 (23 Apr),"1,98,109","2,08,844","2,02,604","-6,240",-299.0%,—,"79,683","42,357","37,255",53.2%
53,Sujapur,Malda,Phase 1 (23 Apr),"2,52,420","2,68,120","2,56,276","-11,844",-442.0%,—,"1,34,521","1,07,690","26,829",80.1%
54,Baishnab Nagar,Malda,Phase 1 (23 Apr),"2,47,658","2,66,048","2,50,343","-15,705",-590.0%,—,"68,787","49,659","19,128",72.2%
55,Farakka,Murshidabad,Phase 1 (23 Apr),"2,28,348","2,36,863","2,22,861","-14,002",-591.0%,—,"82,580","41,175","38,222",49.9%
56,Samserganj,Murshidabad,Phase 1 (23 Apr),"2,35,576","2,48,412","2,36,040","-12,372",-498.0%,—,"1,08,400","33,152","74,775",30.6%
57,Suti,Murshidabad,Phase 1 (23 Apr),"2,66,479","2,78,286","2,66,712","-11,574",-416.0%,—,"1,04,980","66,195","37,965",63.1%
58,Jangipur,Murshidabad,Phase 1 (23 Apr),"2,55,064","2,65,229","2,56,264","-8,965",-338.0%,? YES,"75,720","39,138","36,581",51.7%
59,Raghunathganj,Murshidabad,Phase 1 (23 Apr),"2,50,168","2,62,648","2,50,862","-11,786",-449.0%,? YES,"1,15,087","65,464","46,100",56.9%
60,Sagardighi,Murshidabad,Phase 1 (23 Apr),"2,37,015","2,46,991","2,36,435","-10,556",-427.0%,—,"72,147","50,673","21,474",70.2%
61,Lalgola,Murshidabad,Phase 1 (23 Apr),"2,34,905","2,49,102","2,39,790","-9,312",-374.0%,—,"99,082","43,651","55,420",44.1%
62,Bhagabangola,Murshidabad,Phase 1 (23 Apr),"2,64,439","2,77,458","2,71,915","-5,543",-200.0%,—,"1,09,435","61,621","47,493",56.3%
63,Raninagar,Murshidabad,Phase 1 (23 Apr),"2,57,230","2,67,431","2,61,121","-6,310",-236.0%,? YES,"92,796","75,517","17,140",81.4%
64,Murshidabad,Murshidabad,Phase 1 (23 Apr),"2,69,208","2,78,927","2,67,225","-11,702",-420.0%,? YES,"21,150","5,108","16,042",24.2%
65,Nabagram,Murshidabad,Phase 1 (23 Apr),"2,52,532","2,63,227","2,55,693","-7,534",-286.0%,—,"20,974","11,113","9,469",53.0%
66,Khargram,Murshidabad,Phase 1 (23 Apr),"2,29,493","2,42,073","2,34,236","-7,837",-324.0%,—,"16,097","11,829","4,258",73.5%
67,Burwan,Murshidabad,Phase 1 (23 Apr),"2,17,952","2,26,178","2,15,898","-10,280",-455.0%,? YES,"13,182","10,106","3,076",76.7%
68,Kandi,Murshidabad,Phase 1 (23 Apr),"2,39,600","2,50,675","2,39,925","-10,750",-429.0%,—,"21,933","13,639","8,294",62.2%
69,Bharatpur,Murshidabad,Phase 1 (23 Apr),"2,43,209","2,52,311","2,39,457","-12,854",-509.0%,—,"14,317","12,715","1,602",88.8%
70,Rejinagar,Murshidabad,Phase 1 (23 Apr),"2,60,903","2,71,524","2,59,004","-12,520",-461.0%,—,"19,800","15,877","3,923",80.2%
71,Beldanga,Murshidabad,Phase 1 (23 Apr),"2,54,082","2,64,818","2,52,007","-12,811",-484.0%,? YES,"19,867","12,874","6,460",64.8%
72,Baharampur,Murshidabad,Phase 1 (23 Apr),"2,63,898","2,67,792","2,48,188","-19,604",-732.0%,? YES,"8,447","3,801","4,516",45.0%
73,Hariharpara,Murshidabad,Phase 1 (23 Apr),"2,48,876","2,57,478","2,50,539","-6,939",-269.0%,—,"20,321","14,594","5,528",71.8%
74,Naoda,Murshidabad,Phase 1 (23 Apr),"2,48,494","2,56,126","2,46,553","-9,573",-374.0%,—,"29,121","18,582","10,539",63.8%
75,Domkal,Murshidabad,Phase 1 (23 Apr),"2,67,261","2,76,615","2,69,143","-7,472",-270.0%,—,"16,731","12,260","3,755",73.3%
76,Jalangi,Murshidabad,Phase 1 (23 Apr),"2,62,764","2,72,307","2,65,380","-6,927",-254.0%,? YES,"18,978","14,587","2,505",76.9%
77,Karimpur,Nadia,Phase 2 (29 Apr),"2,54,429","2,60,373","2,55,020","-5,353",-206.0%,—,"12,693","9,971","2,722",78.6%
78,Tehatta,Nadia,Phase 2 (29 Apr),"2,55,038","2,61,821","2,54,717","-7,104",-271.0%,—,"8,191","6,982","1,209",85.2%
79,Palashipara,Nadia,Phase 2 (29 Apr),"2,46,856","2,52,634","2,43,456","-9,178",-363.0%,—,"20,036","7,423","12,613",37.0%
80,Kaliganj,Nadia,Phase 2 (29 Apr),"2,51,084","2,53,579","2,42,879","-10,700",-422.0%,—,"15,658","2,998","12,660",19.1%
81,Nakashipara,Nadia,Phase 2 (29 Apr),"2,50,083","2,56,405","2,43,220","-13,185",-514.0%,? YES,"23,666","1,776","21,890",7.5%
82,Chapra,Nadia,Phase 2 (29 Apr),"2,49,970","2,58,821","2,47,378","-11,443",-442.0%,—,"19,254","1,710","17,544",8.9%
83,Krishnanagar Uttar,Nadia,Phase 2 (29 Apr),"2,40,903","2,46,385","2,30,747","-15,638",-635.0%,—,"12,433","1,004","11,429",8.1%
84,Nabadwip,Nadia,Phase 2 (29 Apr),"2,45,527","2,51,525","2,36,364","-15,161",-603.0%,? YES,"7,858","1,849","6,009",23.5%
85,Krishnanagar Dakshin,Nadia,Phase 2 (29 Apr),"2,26,592","2,32,954","2,22,477","-10,477",-450.0%,? YES,"12,765",776,"11,989",6.1%
86,Santipur,Nadia,Phase 2 (29 Apr),"2,56,529","2,58,315","2,45,591","-12,724",-493.0%,—,"13,345","2,346","10,999",17.6%
87,Ranaghat Uttar Paschim,Nadia,Phase 2 (29 Apr),"2,66,977","2,67,218","2,51,710","-15,508",-580.0%,—,"15,041","1,012","14,029",6.7%
88,Krishnaganj,Nadia,Phase 2 (29 Apr),"2,75,166","2,82,086","2,68,932","-13,154",-466.0%,—,"19,849","4,297","15,552",21.6%
89,Ranaghat Uttar Purba,Nadia,Phase 2 (29 Apr),"2,66,322","2,73,964","2,58,682","-15,282",-558.0%,—,"22,694","1,898","20,796",8.4%
90,Ranaghat Dakshin,Nadia,Phase 2 (29 Apr),"2,86,800","2,92,695","2,76,702","-15,993",-546.0%,—,"19,478","2,067","17,411",10.6%
91,Chakdaha,Nadia,Phase 2 (29 Apr),"2,48,813","2,51,796","2,39,446","-12,350",-490.0%,—,"15,237","4,486","10,751",29.4%
92,Kalyani,Nadia,Phase 2 (29 Apr),"2,58,037","2,67,200","2,48,306","-18,894",-707.0%,? YES,"12,236","2,902","9,334",23.7%
93,Haringhata,Nadia,Phase 2 (29 Apr),"2,42,022","2,47,269","2,36,588","-10,681",-432.0%,—,"17,506","5,817","11,689",33.2%
94,Bagdah,North 24 Pgs,Phase 2 (29 Apr),"2,79,319","2,86,228","2,63,142","-23,086",-807.0%,? YES,"13,459","3,442","10,017",25.6%
95,Bongaon Uttar,North 24 Pgs,Phase 2 (29 Apr),"2,50,763","2,64,506","2,41,337","-23,169",-876.0%,—,"12,296","4,016","8,280",32.7%
96,Bongaon Dakshin,North 24 Pgs,Phase 2 (29 Apr),"2,50,251","2,60,962","2,44,814","-16,148",-619.0%,—,"13,447","2,889","10,558",21.5%
97,Gaighata,North 24 Pgs,Phase 2 (29 Apr),"2,54,042","2,63,486","2,48,652","-14,834",-563.0%,—,"22,278","2,640","19,638",11.9%
98,Swarupnagar,North 24 Pgs,Phase 2 (29 Apr),"2,46,255","2,51,641","2,40,459","-11,182",-444.0%,—,"14,377","5,624","8,753",39.1%
99,Baduria,North 24 Pgs,Phase 2 (29 Apr),"2,44,356","2,51,768","2,44,342","-7,426",-295.0%,—,"19,041","10,618","8,423",55.8%
100,Habra,North 24 Pgs,Phase 2 (29 Apr),"2,43,176","2,49,860","2,31,945","-17,915",-717.0%,—,"28,264","9,473","18,791",33.5%
101,Ashoknagar,North 24 Pgs,Phase 2 (29 Apr),"2,56,873","2,66,951","2,45,460","-21,491",-805.0%,? YES,"18,284","7,801","10,483",42.7%
102,Amdanga,North 24 Pgs,Phase 2 (29 Apr),"2,42,823","2,51,591","2,42,055","-9,536",-379.0%,—,"41,005","25,618","15,387",62.5%
103,Bijpur,North 24 Pgs,Phase 2 (29 Apr),"1,93,780","1,91,752","1,64,421","-27,331",-1425.0%,? YES,"6,761","1,434","5,324",21.2%
104,Naihati,North 24 Pgs,Phase 2 (29 Apr),"1,95,145","1,95,761","1,80,430","-15,331",-783.0%,—,"11,355","2,891","8,464",25.5%
105,Bhatpara,North 24 Pgs,Phase 2 (29 Apr),"1,54,440","1,55,742","1,23,643","-32,099",-2061.0%,? YES,"13,526","6,113","7,413",45.2%
106,Jagatdal,North 24 Pgs,Phase 2 (29 Apr),"2,35,621","2,35,746","2,10,806","-24,940",-1058.0%,? YES,"11,259","3,651","7,608",32.4%
107,Noapara,North 24 Pgs,Phase 2 (29 Apr),"2,63,629","2,65,175","2,27,328","-37,847",-1427.0%,? YES,"16,469","8,088","8,376",49.1%
108,Barrackpur,North 24 Pgs,Phase 2 (29 Apr),"2,16,453","2,16,334","1,74,713","-41,621",-1924.0%,? YES,"10,581","7,391","3,190",69.9%
109,Khardaha,North 24 Pgs,Phase 2 (29 Apr),"2,31,450","2,40,672","2,19,942","-20,730",-861.0%,? YES,"14,369","4,962","9,407",34.5%
110,Dum Dum Uttar,North 24 Pgs,Phase 2 (29 Apr),"2,74,076","2,82,241","2,47,672","-34,569",-1225.0%,? YES,"10,990","3,736","7,254",34.0%
111,Panihati,North 24 Pgs,Phase 2 (29 Apr),"2,32,474","2,30,849","1,98,455","-32,394",-1403.0%,? YES,"10,507","2,628","7,878",25.0%
112,Kamarhati,North 24 Pgs,Phase 2 (29 Apr),"1,98,010","2,02,418","1,67,207","-35,211",-1740.0%,? YES,"11,090","5,325","5,765",48.0%
113,Baranagar,North 24 Pgs,Phase 2 (29 Apr),"2,19,623","2,19,056","1,88,773","-30,283",-1382.0%,? YES,"4,982","3,077","1,905",61.8%
114,Dum Dum,North 24 Pgs,Phase 2 (29 Apr),"2,48,970","2,56,345","2,22,550","-33,795",-1318.0%,? YES,"3,021",666,"2,351",22.0%
115,Rajarhat New Town,North 24 Pgs,Phase 2 (29 Apr),"2,89,471","3,17,418","2,86,448","-30,970",-976.0%,? YES,"31,382","7,227","24,132",23.0%
116,Bidhannagar,North 24 Pgs,Phase 2 (29 Apr),"2,43,771","2,47,850","2,02,370","-45,480",-1835.0%,? YES,"6,057","2,567","3,490",42.4%
117,Rajarhat Gopalpur,North 24 Pgs,Phase 2 (29 Apr),"2,58,643","2,69,301","2,25,146","-44,155",-1640.0%,? YES,"9,220","1,882","7,338",20.4%
118,Madhyamgram,North 24 Pgs,Phase 2 (29 Apr),"2,74,453","2,84,909","2,64,119","-20,790",-730.0%,—,"23,348","8,475","14,842",36.3%
119,Barasat,North 24 Pgs,Phase 2 (29 Apr),"2,80,799","2,88,349","2,63,909","-24,440",-848.0%,? YES,"17,384","9,546","7,838",54.9%
120,Deganga,North 24 Pgs,Phase 2 (29 Apr),"2,43,254","2,52,267","2,43,490","-8,777",-348.0%,—,"36,639","31,000","5,634",84.6%
121,Haroa,North 24 Pgs,Phase 2 (29 Apr),"2,60,147","2,69,049","2,58,217","-10,832",-403.0%,—,"26,864","12,828","13,785",47.8%
122,Minakhan,North 24 Pgs,Phase 2 (29 Apr),"2,37,158","2,46,513","2,39,612","-6,901",-280.0%,—,"32,614","15,932","16,501",48.9%
123,Sandeshkhali,North 24 Pgs,Phase 2 (29 Apr),"2,39,621","2,45,817","2,34,268","-11,549",-470.0%,? YES,"25,560","17,842","7,718",69.8%
124,Basirhat Dakshin,North 24 Pgs,Phase 2 (29 Apr),"2,77,109","2,80,513","2,67,983","-12,530",-447.0%,—,"20,109","12,401","7,703",61.7%
125,Basirhat Uttar,North 24 Pgs,Phase 2 (29 Apr),"2,68,830","2,77,849","2,70,775","-7,074",-255.0%,—,"41,186","17,286","23,900",42.0%
126,Hingalganj,North 24 Pgs,Phase 2 (29 Apr),"2,30,692","2,34,365","2,24,065","-10,300",-439.0%,—,"13,528","6,008","7,520",44.4%
127,Gosaba,South 24 Pgs,Phase 2 (29 Apr),"2,31,999","2,37,350","2,24,584","-12,766",-538.0%,—,"4,233",780,"3,453",18.4%
128,Basanti,South 24 Pgs,Phase 2 (29 Apr),"2,62,659","2,73,323","2,52,572","-20,751",-759.0%,—,"20,331","10,224","10,107",50.3%
129,Kultali,South 24 Pgs,Phase 2 (29 Apr),"2,66,969","2,84,695","2,63,256","-21,439",-753.0%,—,"14,836","11,339","3,497",76.4%
130,Patharpratima,South 24 Pgs,Phase 2 (29 Apr),"2,64,656","2,72,188","2,63,478","-8,710",-320.0%,—,"7,733","2,590","5,086",33.5%
131,Kakdwip,South 24 Pgs,Phase 2 (29 Apr),"2,48,609","2,61,682","2,50,607","-11,075",-423.0%,—,"7,915","1,525","6,238",19.3%
132,Sagar,South 24 Pgs,Phase 2 (29 Apr),"2,76,473","2,85,244","2,77,240","-8,004",-281.0%,—,"4,806","1,920","2,886",40.0%
133,Kulpi,South 24 Pgs,Phase 2 (29 Apr),"2,21,174","2,32,589","2,20,566","-12,023",-517.0%,—,"14,299","6,782","7,517",47.4%
134,Raidighi,South 24 Pgs,Phase 2 (29 Apr),"2,74,643","2,87,666","2,72,816","-14,850",-516.0%,—,"11,318","3,780","7,538",33.4%
135,Mandirbazar,South 24 Pgs,Phase 2 (29 Apr),"2,29,509","2,39,715","2,27,154","-12,561",-524.0%,—,"14,685","6,295","8,390",42.9%
136,Jaqynagar,South 24 Pgs,Phase 2 (29 Apr),"2,40,931","2,52,529","2,31,939","-20,590",-815.0%,—,"15,651","8,768","6,883",56.0%
137,Baruipur Purba,South 24 Pgs,Phase 2 (29 Apr),"2,66,785","2,85,456","2,52,026","-33,430",-1171.0%,—,"20,932","15,912","5,020",76.0%
138,Canning Paschim,South 24 Pgs,Phase 2 (29 Apr),"2,58,897","2,69,116","2,49,992","-19,124",-711.0%,—,"17,147","6,347","10,800",37.0%
139,Canning Purba,South 24 Pgs,Phase 2 (29 Apr),"2,63,608","2,76,280","2,57,817","-18,463",-668.0%,—,"32,941","21,757","11,176",66.0%
140,Baruipur Paschim,South 24 Pgs,Phase 2 (29 Apr),"2,55,184","2,75,871","2,38,999","-36,872",-1337.0%,—,"16,847","9,947","6,900",59.0%
141,Magrahat Purba,South 24 Pgs,Phase 2 (29 Apr),"2,42,276","2,52,070","2,37,808","-14,262",-566.0%,—,"19,656","13,052","6,604",66.4%
142,Magrahat Paschim,South 24 Pgs,Phase 2 (29 Apr),"2,30,547","2,39,029","2,26,778","-12,251",-513.0%,—,"26,908","14,028","12,874",52.1%
143,Diamond Harbour,South 24 Pgs,Phase 2 (29 Apr),"2,56,016","2,65,214","2,53,015","-12,199",-460.0%,—,"22,455","10,493","11,956",46.7%
144,Falta,South 24 Pgs,Phase 2 (29 Apr),"2,38,454","2,45,284","2,33,644","-11,640",-475.0%,—,"7,044","6,464",580,91.8%
