West Bengal 2026 — SIR & Adjudication Data by Assembly Constituency,,,,,,,,,,,,,
145,Satgachia,South 24 Pgs,Phase 2 (29 Apr),"2,70,929","2,78,810","2,61,320","-17,490",-627.0%,—,"17,650","8,865","8,785",50.2%
146,Bishnupur(Sc),South 24 Pgs,Phase 2 (29 Apr),"2,78,838","2,91,211","2,72,720","-18,491",-635.0%,—,"14,322","8,972","5,350",62.6%
147,Sonarpur Dakshin,South 24 Pgs,Phase 2 (29 Apr),"2,90,246","2,98,767","2,67,911","-30,856",-1033.0%,? YES,"4,492","2,730","1,762",60.8%
148,Bhangore,South 24 Pgs,Phase 2 (29 Apr),"2,71,873","2,87,329","2,70,963","-16,366",-570.0%,—,"29,807","27,589","2,183",92.6%
149,Kasba,South 24 Pgs,Phase 2 (29 Apr),"3,07,332","3,17,894","2,65,003","-52,891",-1664.0%,? YES,"19,180","12,904","5,973",67.3%
150,Jadavpur,South 24 Pgs,Phase 2 (29 Apr),"3,02,342","3,06,713","2,56,136","-50,577",-1649.0%,? YES,"4,583","2,359","2,184",51.5%
151,Sonarpur Uttar,South 24 Pgs,Phase 2 (29 Apr),"3,01,070","3,16,588","2,85,347","-31,241",-987.0%,—,"9,897","5,624","4,273",56.8%
152,Tollygunj,South 24 Pgs,Phase 2 (29 Apr),"2,71,815","2,63,527","2,28,448","-35,079",-1331.0%,? YES,"4,144","1,751","2,393",42.3%
153,Behala Purba,South 24 Pgs,Phase 2 (29 Apr),"3,10,267","3,13,669","2,58,609","-55,060",-1755.0%,? YES,"9,103","4,055","4,737",44.5%
154,Behala Paschim,South 24 Pgs,Phase 2 (29 Apr),"3,15,438","3,18,301","2,65,168","-53,133",-1669.0%,? YES,"11,905","7,930","3,975",66.6%
155,Maheshtala,South 24 Pgs,Phase 2 (29 Apr),"2,71,868","2,77,441","2,47,741","-29,700",-1070.0%,—,"16,841","13,314","3,527",79.1%
156,Budge Budge,South 24 Pgs,Phase 2 (29 Apr),"2,57,805","2,61,771","2,38,392","-23,379",-893.0%,—,"22,690","11,976","10,703",52.8%
157,Metiaburuz,South 24 Pgs,Phase 2 (29 Apr),"2,56,835","2,61,821","2,24,227","-37,594",-1436.0%,—,"77,691","35,667","39,579",45.9%
158,Kolkata Port,Kolkata,Phase 2 (29 Apr),"2,36,675","2,38,851","1,79,735","-59,116",-2475.0%,? YES,"32,378","18,938","13,395",58.5%
159,Bhabanipur,Kolkata,Phase 2 (29 Apr),"2,07,588","2,05,553","1,61,525","-44,028",-2142.0%,? YES,"14,154","10,256","3,893",72.5%
160,Rashbehari,Kolkata,Phase 2 (29 Apr),"2,08,432","2,02,777","1,60,021","-42,756",-2109.0%,? YES,"8,157","3,086","5,006",37.8%
161,Ballygunge,Kolkata,Phase 2 (29 Apr),"2,48,660","2,53,070","1,90,025","-63,045",-2491.0%,? YES,"23,968","17,769","6,174",74.1%
162,Chowrangee,Kolkata,Phase 2 (29 Apr),"2,09,101","2,09,713","1,35,736","-73,977",-3528.0%,? YES,"14,217","3,793","10,424",26.7%
163,Entally,Kolkata,Phase 2 (29 Apr),"2,31,890","2,36,126","1,89,873","-46,253",-1959.0%,? YES,"12,558","3,466","9,092",27.6%
164,Beleghata,Kolkata,Phase 2 (29 Apr),"2,52,277","2,53,802","1,95,459","-58,343",-2299.0%,? YES,"18,731","9,198","9,532",49.1%
165,Jorasanko,Kolkata,Phase 2 (29 Apr),"1,98,545","1,97,388","1,24,940","-72,448",-3670.0%,? YES,"5,700","2,076","3,624",36.4%
166,Shyampukur,Kolkata,Phase 2 (29 Apr),"1,78,179","1,76,652","1,33,513","-43,139",-2442.0%,? YES,"2,759",369,"2,390",13.4%
167,Maniktala,Kolkata,Phase 2 (29 Apr),"2,11,562","2,10,464","1,67,044","-43,420",-2063.0%,? YES,"1,654",921,733,55.7%
168,Kashipur-Belgachia,Kolkata,Phase 2 (29 Apr),"2,26,333","2,21,541","1,69,384","-52,157",-2354.0%,? YES,"5,617","2,248","3,369",40.0%
169,Bally,Howrah,Phase 2 (29 Apr),"1,76,489","1,76,155","1,42,991","-33,164",-1883.0%,? YES,"14,336","2,950","11,386",20.6%
170,Howrah Uttar,Howrah,Phase 2 (29 Apr),"2,18,888","2,24,870","1,63,732","-61,138",-2719.0%,? YES,"17,233","6,054","11,179",35.1%
171,Howrah Madhya,Howrah,Phase 2 (29 Apr),"2,66,991","2,69,095","2,22,695","-46,400",-1724.0%,? YES,"24,769","11,916","12,853",48.1%
172,Shibpur,Howrah,Phase 2 (29 Apr),"2,34,485","2,38,061","2,02,164","-35,897",-1508.0%,? YES,"10,863","2,521","8,342",23.2%
173,Howrah Dakshin,Howrah,Phase 2 (29 Apr),"2,94,555","3,02,518","2,50,491","-52,027",-1720.0%,? YES,"25,122","10,421","14,701",41.5%
174,Sankrail,Howrah,Phase 2 (29 Apr),"2,77,450","2,85,210","2,54,693","-30,517",-1070.0%,? YES,"21,981","5,503","16,478",25.0%
175,Panchla,Howrah,Phase 2 (29 Apr),"2,66,661","2,74,064","2,53,786","-20,278",-740.0%,—,"21,353","11,935","9,418",55.9%
176,Uluberia Purba,Howrah,Phase 2 (29 Apr),"2,34,362","2,41,689","2,19,470","-22,219",-919.0%,—,"18,006","13,590","4,415",75.5%
177,Uluberia Uttar,Howrah,Phase 2 (29 Apr),"2,24,779","2,33,409","2,17,177","-16,232",-695.0%,—,"17,574","11,381","6,193",64.8%
178,Uluberia Dakshin,Howrah,Phase 2 (29 Apr),"2,37,820","2,48,514","2,37,566","-10,948",-441.0%,—,"17,511","13,944","3,567",79.6%
179,Shyampur,Howrah,Phase 2 (29 Apr),"2,57,322","2,66,443","2,59,605","-6,838",-257.0%,—,"8,887","5,837","3,050",65.7%
180,Bagnan,Howrah,Phase 2 (29 Apr),"2,31,486","2,39,847","2,30,184","-9,663",-403.0%,—,"16,581","13,679","2,898",82.5%
181,Amta,Howrah,Phase 2 (29 Apr),"2,61,962","2,70,226","2,52,734","-17,492",-647.0%,—,"14,518","14,125",393,97.3%
182,Udaynarayanpur,Howrah,Phase 2 (29 Apr),"2,36,134","2,42,260","2,28,791","-13,469",-556.0%,—,"9,142","5,750","3,392",62.9%
183,Jagatballavpur,Howrah,Phase 2 (29 Apr),"2,89,228","2,98,107","2,75,475","-22,632",-759.0%,—,"24,052","13,779","10,273",57.3%
184,Domjur,Howrah,Phase 2 (29 Apr),"2,99,675","3,10,830","2,82,017","-28,813",-927.0%,—,"27,786","14,173","13,613",51.0%
185,Uttarpara,Hooghly,Phase 2 (29 Apr),"2,61,060","2,61,786","2,33,266","-28,520",-1089.0%,? YES,"7,539",987,"6,552",13.1%
186,Sreerampur,Hooghly,Phase 2 (29 Apr),"2,53,752","2,55,577","2,14,642","-40,935",-1602.0%,? YES,"14,559","4,114","10,445",28.3%
187,Champdani,Hooghly,Phase 2 (29 Apr),"2,64,228","2,63,853","2,27,015","-36,838",-1396.0%,? YES,"13,128","5,518","7,610",42.0%
188,Singur,Hooghly,Phase 2 (29 Apr),"2,49,451","2,51,585","2,42,036","-9,549",-380.0%,—,"7,061","1,269","5,792",18.0%
189,Chandannagore,Hooghly,Phase 2 (29 Apr),"2,32,221","2,35,045","2,07,932","-27,113",-1154.0%,? YES,"7,127","1,236","5,891",17.3%
190,Chunchura,Hooghly,Phase 2 (29 Apr),"3,14,801","3,18,349","2,89,439","-28,910",-908.0%,? YES,"12,238",410,"11,828",3.4%
191,Balagarh,Hooghly,Phase 2 (29 Apr),"2,60,427","2,63,064","2,49,553","-13,511",-514.0%,? YES,"9,166","1,814","7,352",19.8%
192,Pandua,Hooghly,Phase 2 (29 Apr),"2,71,469","2,76,122","2,61,239","-14,883",-539.0%,—,"13,987","2,493","11,494",17.8%
193,Saptagram,Hooghly,Phase 2 (29 Apr),"2,35,066","2,38,146","2,17,852","-20,294",-852.0%,? YES,"8,735","1,350","7,385",15.5%
194,Chanditala,Hooghly,Phase 2 (29 Apr),"2,64,098","2,72,486","2,54,077","-18,409",-676.0%,—,"15,696","6,389","9,307",40.7%
195,Jangipara,Hooghly,Phase 2 (29 Apr),"2,58,521","2,65,617","2,53,701","-11,916",-449.0%,—,"8,899","3,467","5,432",39.0%
196,Haripal,Hooghly,Phase 2 (29 Apr),"2,70,988","2,74,484","2,63,184","-11,300",-412.0%,—,"10,403","8,539","1,864",82.1%
197,Dhanekhali,Hooghly,Phase 2 (29 Apr),"2,73,911","2,77,792","2,64,632","-13,160",-474.0%,—,"5,701","1,466","4,235",25.7%
198,Tarakeswar,Hooghly,Phase 2 (29 Apr),"2,41,488","2,44,468","2,35,192","-9,276",-379.0%,—,"2,951",937,"2,014",31.8%
199,Pursurah,Hooghly,Phase 2 (29 Apr),"2,61,455","2,68,593","2,61,904","-6,689",-249.0%,—,"7,823","3,332","4,491",42.6%
200,Arambag,Hooghly,Phase 2 (29 Apr),"2,58,837","2,65,598","2,55,291","-10,307",-388.0%,? YES,"9,173","4,227","4,946",46.1%
201,Goghat,Hooghly,Phase 2 (29 Apr),"2,47,597","2,54,688","2,48,713","-5,975",-235.0%,? YES,"4,443","1,271","3,172",28.6%
202,Khanakul,Hooghly,Phase 2 (29 Apr),"2,78,582","2,87,059","2,76,557","-10,502",-366.0%,—,"13,149","2,146","11,003",16.3%
203,Tamluk,Purba Medinipur,Phase 1 (23 Apr),"2,68,613","2,78,505","2,72,537","-5,968",-214.0%,—,"4,596","4,230",366,92.0%
204,Panskura Purba,Purba Medinipur,Phase 1 (23 Apr),"2,36,838","2,44,857","2,37,194","-7,663",-313.0%,? YES,"6,054","5,566",488,91.9%
205,Panskura Paschim,Purba Medinipur,Phase 1 (23 Apr),"2,75,362","2,86,556","2,78,839","-7,717",-269.0%,? YES,"8,746","6,377","2,369",72.9%
206,Moyna,Purba Medinipur,Phase 1 (23 Apr),"2,56,672","2,68,091","2,63,968","-4,123",-154.0%,—,"3,826","2,431","1,338",63.5%
207,Nandakumar,Purba Medinipur,Phase 1 (23 Apr),"2,54,592","2,67,319","2,63,607","-3,712",-139.0%,—,"5,012","3,390","1,622",67.6%
208,Mahisadal,Purba Medinipur,Phase 1 (23 Apr),"2,47,634","2,56,509","2,52,033","-4,476",-174.0%,—,"6,061","4,880","1,176",80.5%
209,Haldia,Purba Medinipur,Phase 1 (23 Apr),"2,52,311","2,63,461","2,51,638","-11,823",-449.0%,—,"7,973","5,498","2,475",69.0%
210,Nandigram,Purba Medinipur,Phase 1 (23 Apr),"2,59,521","2,74,621","2,67,608","-7,013",-255.0%,—,"10,616","7,154","3,461",67.4%
211,Chandipur,Purba Medinipur,Phase 1 (23 Apr),"2,46,782","2,58,965","2,55,125","-3,840",-148.0%,? YES,"5,764","3,943","1,821",68.4%
212,Patashpur,Purba Medinipur,Phase 1 (23 Apr),"2,38,250","2,48,377","2,45,461","-2,916",-117.0%,—,"5,136","4,665",471,90.8%
213,Kanthi Uttar,Purba Medinipur,Phase 1 (23 Apr),"2,59,416","2,66,895","2,62,790","-4,105",-154.0%,—,"3,039","2,577",462,84.8%
214,Bhagabanpur,Purba Medinipur,Phase 1 (23 Apr),"2,55,508","2,65,460","2,61,544","-3,916",-148.0%,? YES,"2,133","1,445",680,67.7%
215,Khejuri,Purba Medinipur,Phase 1 (23 Apr),"2,39,843","2,50,390","2,45,613","-4,777",-191.0%,—,"2,047","1,497",550,73.1%
216,Kanthi Dakshin,Purba Medinipur,Phase 1 (23 Apr),"2,26,531","2,33,334","2,25,535","-7,799",-334.0%,—,"2,708","2,220",488,82.0%
217,Ramnagar,Purba Medinipur,Phase 1 (23 Apr),"2,66,290","2,74,237","2,67,505","-6,732",-245.0%,—,"2,817","2,054",763,72.9%
218,Egra,Purba Medinipur,Phase 1 (23 Apr),"2,86,618","2,98,516","2,90,415","-8,101",-271.0%,—,"3,648","2,606","1,042",71.4%
219,Dantan,Paschim Medinipur,Phase 1 (23 Apr),"2,35,417","2,43,166","2,36,503","-6,663",-274.0%,? YES,"3,248","1,305","1,943",40.2%
220,Nayagram,Jhargram,Phase 1 (23 Apr),"2,29,320","2,37,323","2,24,634","-12,689",-535.0%,—,"1,319","1,043",276,79.1%
221,Gopiballavpur,Jhargram,Phase 1 (23 Apr),"2,29,501","2,35,733","2,25,721","-10,012",-425.0%,—,"1,338",947,391,70.8%
222,Jhargram,Jhargram,Phase 1 (23 Apr),"2,39,011","2,46,403","2,32,680","-13,723",-557.0%,—,"2,626","2,391",235,91.1%
223,Keshiary,Paschim Medinipur,Phase 1 (23 Apr),"2,40,317","2,48,705","2,39,567","-9,138",-367.0%,? YES,"2,534",976,"1,558",38.5%
224,Kharagpur Sadar,Paschim Medinipur,Phase 1 (23 Apr),"2,35,807","2,39,710","1,95,947","-43,763",-1826.0%,? YES,"16,583","3,586","12,981",21.6%
225,Narayangarh,Paschim Medinipur,Phase 1 (23 Apr),"2,45,020","2,52,770","2,42,015","-10,755",-425.0%,? YES,"3,902",766,"3,136",19.6%
226,Sabang,Paschim Medinipur,Phase 1 (23 Apr),"2,68,318","2,76,873","2,72,375","-4,498",-162.0%,—,"4,366","2,448","1,918",56.1%
227,Pingla,Paschim Medinipur,Phase 1 (23 Apr),"2,56,873","2,65,243","2,55,915","-9,328",-352.0%,—,"7,523","4,211","3,312",56.0%
228,Kharagpur,Paschim Medinipur,Phase 1 (23 Apr),"2,28,100","2,38,876","2,24,699","-14,177",-593.0%,—,"12,415","6,247","6,168",50.3%
229,Debra,Paschim Medinipur,Phase 1 (23 Apr),"2,36,647","2,39,845","2,31,861","-7,984",-333.0%,? YES,"5,828","4,236","1,592",72.7%
230,Daspur,Paschim Medinipur,Phase 1 (23 Apr),"3,00,545","3,08,266","2,98,208","-10,058",-326.0%,—,"5,124",968,"4,156",18.9%
231,Ghatal,Paschim Medinipur,Phase 1 (23 Apr),"2,82,318","2,88,558","2,80,113","-8,445",-293.0%,? YES,"4,240","1,863","2,377",43.9%
232,Chandrakona,Paschim Medinipur,Phase 1 (23 Apr),"2,81,140","2,90,111","2,83,993","-6,118",-211.0%,—,"4,726","2,861","1,865",60.5%
233,Garbeta,Paschim Medinipur,Phase 1 (23 Apr),"2,32,747","2,43,407","2,35,719","-7,688",-316.0%,—,"7,841","5,457","2,384",69.6%
234,Salboni,Paschim Medinipur,Phase 1 (23 Apr),"2,78,523","2,89,505","2,79,139","-10,366",-358.0%,—,"5,236","3,871","1,365",73.9%
235,Keshpur,Paschim Medinipur,Phase 1 (23 Apr),"2,62,492","2,76,972","2,67,576","-9,396",-339.0%,—,"8,198","7,392",804,90.2%
236,Medinipur,Paschim Medinipur,Phase 1 (23 Apr),"2,83,659","2,91,462","2,68,926","-22,536",-773.0%,? YES,"11,733","4,819","6,718",41.1%
237,Binpur,Jhargram,Phase 1 (23 Apr),"2,25,054","2,32,161","2,18,979","-13,182",-568.0%,—,"1,399","1,061",338,75.8%
238,Bandwan,Purulia,Phase 1 (23 Apr),"2,86,458","2,97,903","2,84,123","-13,780",-463.0%,—,"1,787","1,086",701,60.8%
239,Balarampur,Purulia,Phase 1 (23 Apr),"2,39,493","2,50,992","2,34,185","-16,807",-670.0%,? YES,"4,257","3,220","1,037",75.6%
240,Baghmundi,Purulia,Phase 1 (23 Apr),"2,51,343","2,66,737","2,48,881","-17,856",-669.0%,? YES,"2,883","2,304",579,79.9%
241,Joypur,Purulia,Phase 1 (23 Apr),"2,51,509","2,67,305","2,52,416","-14,889",-557.0%,? YES,"2,869","2,136",733,74.5%
242,Purulia,Purulia,Phase 1 (23 Apr),"2,59,949","2,71,592","2,49,770","-21,822",-803.0%,—,"5,081","3,460","1,621",68.1%
243,Manbazar,Purulia,Phase 1 (23 Apr),"2,55,626","2,65,818","2,52,203","-13,615",-512.0%,—,"2,771","2,700",71,97.4%
244,Kashipur,Purulia,Phase 1 (23 Apr),"2,39,454","2,47,248","2,28,140","-19,108",-773.0%,? YES,"3,052","2,834",218,92.9%
245,Para,Purulia,Phase 1 (23 Apr),"2,44,790","2,55,933","2,34,904","-21,029",-822.0%,? YES,"4,772","4,463",309,93.5%
246,Raghunathpur,Purulia,Phase 1 (23 Apr),"2,61,148","2,73,046","2,53,404","-19,642",-719.0%,? YES,"6,105","5,432",673,89.0%
247,Saltora,Bankura,Phase 1 (23 Apr),"2,33,544","2,42,924","2,32,197","-10,727",-442.0%,—,"1,405",956,449,68.0%
248,Chhatna,Bankura,Phase 1 (23 Apr),"2,43,307","2,53,116","2,40,454","-12,662",-500.0%,? YES,"1,057",809,248,76.5%
249,Ranibundh,Bankura,Phase 1 (23 Apr),"2,51,962","2,63,716","2,53,141","-10,575",-401.0%,? YES,"1,426",904,522,63.4%
250,Raipur,Bankura,Phase 1 (23 Apr),"2,26,029","2,31,024","2,22,053","-8,971",-388.0%,—,574,314,260,54.7%
251,Taldangra,Bankura,Phase 1 (23 Apr),"2,34,274","2,42,320","2,34,607","-7,713",-318.0%,—,"3,197","2,390",807,74.8%
252,Bankura,Bankura,Phase 1 (23 Apr),"2,71,870","2,78,992","2,58,991","-20,001",-717.0%,? YES,"3,945","3,478",467,88.2%
253,Barjora,Bankura,Phase 1 (23 Apr),"2,51,520","2,61,460","2,50,353","-11,107",-425.0%,—,"2,331","1,523",808,65.3%
254,Onda,Bankura,Phase 1 (23 Apr),"2,57,862","2,70,555","2,60,725","-9,830",-363.0%,? YES,"10,444","10,330",114,98.9%
255,Bishnupur,Bankura,Phase 1 (23 Apr),"2,20,104","2,29,304","2,18,759","-10,545",-460.0%,—,"3,402","2,591",811,76.2%
256,Katulpur,Bankura,Phase 1 (23 Apr),"2,49,025","2,55,451","2,51,456","-3,995",-156.0%,—,"3,598","2,337","1,261",65.0%
257,Indus,Bankura,Phase 1 (23 Apr),"2,44,463","2,49,884","2,43,519","-6,365",-255.0%,—,"5,440","5,069",371,93.2%
258,Sonamukhi,Bankura,Phase 1 (23 Apr),"2,34,759","2,41,651","2,34,754","-6,897",-285.0%,—,"2,298","1,883",415,81.9%
259,Khandaghosh,Purba Bardhaman,Phase 2 (29 Apr),"2,44,608","2,50,176","2,43,759","-6,417",-256.0%,—,"21,144","8,436","9,976",39.9%
260,Bardhaman Dakshin,Purba Bardhaman,Phase 2 (29 Apr),"2,59,273","2,58,097","2,35,996","-22,101",-856.0%,? YES,"18,282","3,357","14,458",18.4%
261,Raina,Purba Bardhaman,Phase 2 (29 Apr),"2,60,327","2,64,906","2,54,774","-10,132",-382.0%,—,"20,483","9,176","11,284",44.8%
262,Jamalpur,Purba Bardhaman,Phase 2 (29 Apr),"2,37,057","2,41,887","2,31,587","-10,300",-426.0%,—,"13,925","6,133","7,783",44.0%
263,Monteswar,Purba Bardhaman,Phase 2 (29 Apr),"2,43,206","2,49,064","2,40,676","-8,388",-337.0%,—,"27,713","4,285","23,423",15.5%
264,Kalna,Purba Bardhaman,Phase 2 (29 Apr),"2,41,645","2,47,415","2,35,334","-12,081",-488.0%,? YES,"14,702","5,781","8,921",39.3%
265,Memari,Purba Bardhaman,Phase 2 (29 Apr),"2,55,073","2,57,375","2,45,431","-11,944",-464.0%,—,"16,727","11,195","5,532",66.9%
266,Bardhaman Uttar,Purba Bardhaman,Phase 2 (29 Apr),"2,78,619","2,85,405","2,69,624","-15,781",-553.0%,—,"23,182","11,965","11,217",51.6%
267,Bhatar,Purba Bardhaman,Phase 2 (29 Apr),"2,47,221","2,55,493","2,43,663","-11,830",-463.0%,—,"20,573","3,092","17,481",15.0%
268,Purbasthali Dakshin,Purba Bardhaman,Phase 2 (29 Apr),"2,49,308","2,53,983","2,43,482","-10,501",-413.0%,—,"24,693","12,730","11,963",51.6%
269,Purbasthali Uttar,Purba Bardhaman,Phase 2 (29 Apr),"2,53,877","2,61,976","2,51,499","-10,477",-400.0%,? YES,"30,049","18,410","11,639",61.3%
270,Katwa,Purba Bardhaman,Phase 2 (29 Apr),"2,68,459","2,75,698","2,65,672","-10,026",-364.0%,—,"22,509","13,010","9,475",57.8%
271,Ketugram,Purba Bardhaman,Phase 2 (29 Apr),"2,58,639","2,69,853","2,61,743","-8,110",-301.0%,—,"40,698","11,991","26,780",29.5%
272,Mangalkot,Purba Bardhaman,Phase 2 (29 Apr),"2,52,414","2,59,847","2,51,597","-8,250",-317.0%,—,"31,974","10,913","21,061",34.1%
273,Ausgram,Purba Bardhaman,Phase 2 (29 Apr),"2,47,949","2,52,804","2,42,986","-9,818",-388.0%,—,"17,855","9,006","8,849",50.4%
274,Galsi,Purba Bardhaman,Phase 2 (29 Apr),"2,57,507","2,63,983","2,52,797","-11,186",-424.0%,—,"21,030","11,060","9,963",52.6%
275,Pandabeswar,Purba Bardhaman,Phase 1 (23 Apr),"2,14,843","2,17,780","1,93,260","-24,520",-1126.0%,—,"10,106","4,208","5,898",41.6%
276,Durgapur Purba,Purba Bardhaman,Phase 1 (23 Apr),"2,58,692","2,64,339","2,39,025","-25,314",-958.0%,? YES,"8,485","3,908","4,577",46.1%
277,Durgapur Paschim,Paschim Bardhaman,Phase 1 (23 Apr),"2,71,214","2,76,955","2,45,585","-31,370",-1133.0%,? YES,"11,536","4,567","6,968",39.6%
278,Raniganj,Paschim Bardhaman,Phase 1 (23 Apr),"2,52,439","2,57,785","2,22,754","-35,031",-1359.0%,? YES,"17,849","7,832","10,017",43.9%
279,Jamuria,Paschim Bardhaman,Phase 1 (23 Apr),"2,22,745","2,32,932","2,00,502","-32,430",-1392.0%,? YES,"13,442","7,061","6,337",52.5%
280,Asansol Dakshin,Paschim Bardhaman,Phase 1 (23 Apr),"2,76,772","2,84,852","2,47,422","-37,430",-1314.0%,? YES,"16,729","6,268","10,444",37.5%
281,Asansol Uttar,Paschim Bardhaman,Phase 1 (23 Apr),"2,78,727","2,85,879","2,47,028","-38,851",-1359.0%,? YES,"28,767","14,183","14,531",49.3%
282,Kulti,Paschim Bardhaman,Phase 1 (23 Apr),"2,52,772","2,57,251","2,21,634","-35,617",-1385.0%,? YES,"22,509","10,845","11,664",48.2%
283,Barbani,Paschim Bardhaman,Phase 1 (23 Apr),"2,28,041","2,35,396","2,03,756","-31,640",-1344.0%,? YES,"8,526","4,862","3,664",57.0%
284,Dubrajpur,Birbhum,Phase 1 (23 Apr),"2,43,889","2,52,407","2,37,322","-15,085",-598.0%,—,"16,056","9,113","6,943",56.8%
285,Suri,Birbhum,Phase 1 (23 Apr),"2,67,290","2,72,439","2,57,521","-14,918",-548.0%,? YES,"14,752","9,099","5,653",61.7%
286,Bolpur,Birbhum,Phase 1 (23 Apr),"2,77,455","2,85,141","2,68,700","-16,441",-577.0%,—,"24,565","18,401","6,164",74.9%
287,Nanoor,Birbhum,Phase 1 (23 Apr),"2,79,486","2,87,769","2,72,821","-14,948",-519.0%,—,"15,025","11,482","3,543",76.4%
288,Labhpur,Birbhum,Phase 1 (23 Apr),"2,42,566","2,46,267","2,35,885","-10,382",-422.0%,—,"11,563","9,527","2,036",82.4%
289,Sainthia,Birbhum,Phase 1 (23 Apr),"2,58,705","2,66,895","2,51,198","-15,697",-588.0%,—,"8,719","6,277","2,442",72.0%
290,Mayureswar,Birbhum,Phase 1 (23 Apr),"2,33,054","2,40,511","2,29,993","-10,518",-437.0%,—,"18,225","11,622","6,603",63.8%
291,Rampurhat,Birbhum,Phase 1 (23 Apr),"2,63,389","2,71,645","2,52,934","-18,711",-689.0%,? YES,"16,859","8,818","8,041",52.3%
292,Hansan,Birbhum,Phase 1 (23 Apr),"2,49,888","2,59,674","2,50,315","-9,359",-360.0%,—,"25,166","11,135","14,031",44.2%
293,Nalhati,Birbhum,Phase 1 (23 Apr),"2,46,085","2,57,726","2,43,367","-14,359",-557.0%,—,"19,987","8,255","11,732",41.3%
294,Murarai,Birbhum,Phase 1 (23 Apr),"2,64,880","2,78,661","2,66,368","-12,293",-441.0%,—,"31,142","16,271","14,871",52.2%
